CONCISE NET LIST - 1  
CAN_A_H                  D1_CANA          1        DIO_DUAL_BIDIR_ESD_3P_AAI_SOT23-AAI-SZNUP3105LT
CAN_A_H                  J1               A4       CON_M48ST_Q_TH_AAI_M-ST-TH-AAI-10-910-001518
CAN_A_H                  L1_CANA          2        CHOKE_4P5_AAI_SM-AAI-170UH-3.5OHM
CAN_A_H                  R1_CANA          1        RES_AAI_1206-AAI-2.2K,1%,3/4W,TK
CAN_A_H                  R3_CANA          1        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_A_L                  C5_CANA          2        CAP_AAI_0603-AAI-47PF,5%,100V,C0G
CAN_A_L                  D1_CANA          2        DIO_DUAL_BIDIR_ESD_3P_AAI_SOT23-AAI-SZNUP3105LT
CAN_A_L                  J1               B4       CON_M48ST_Q_TH_AAI_M-ST-TH-AAI-10-910-001518
CAN_A_L                  L1_CANA          1        CHOKE_4P5_AAI_SM-AAI-170UH-3.5OHM
CAN_A_L                  R2_CANA          2        RES_AAI_1206-AAI-2.2K,1%,3/4W,TK
CAN_A_L                  R4_CANA          1        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_A_RXD                R8_CANA          1        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_A_RXD                U101_UP          F20      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
CAN_A_TXD                R7_CANA          1        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_A_TXD                U101_UP          G21      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
CAN_B_ERROR_L            R9_CANB          2        RES_AAI_0402-AAI-10K,1%,1/10W,TK
CAN_B_ERROR_L            U101_UP          G12      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
CAN_B_ERROR_L            U1_CANB          8        TJA1463_AAI_HVSON-AAI-TJA1463
CAN_B_H                  C4_CANB          1        CAP_AAI_0603-AAI-47PF,5%,100V,C0G
CAN_B_H                  D1_CANB          1        DIO_DUAL_BIDIR_ESD_3P_AAI_SOT23-AAI-SZNUP3105LT
CAN_B_H                  J1               A3       CON_M48ST_Q_TH_AAI_M-ST-TH-AAI-10-910-001518
CAN_B_H                  L1_CANB          2        CHOKE_4P5_AAI_SM-AAI-170UH-3.5OHM
CAN_B_H                  R1_CANB          1        RES_AAI_1206-AAI-2.2K,1%,3/4W,TK
CAN_B_H                  R3_CANB          1        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_B_L                  C5_CANB          2        CAP_AAI_0603-AAI-47PF,5%,100V,C0G
CAN_B_L                  D1_CANB          2        DIO_DUAL_BIDIR_ESD_3P_AAI_SOT23-AAI-SZNUP3105LT
CAN_B_L                  J1               B3       CON_M48ST_Q_TH_AAI_M-ST-TH-AAI-10-910-001518
CAN_B_L                  L1_CANB          1        CHOKE_4P5_AAI_SM-AAI-170UH-3.5OHM
CAN_B_L                  R2_CANB          2        RES_AAI_1206-AAI-2.2K,1%,3/4W,TK
CAN_B_L                  R4_CANB          1        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_B_RXD                R8_CANB          1        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_B_RXD                U101_UP          AE22     SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
CAN_B_TXD                R7_CANB          1        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_B_TXD                U101_UP          AD22     SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
CAN_ENABLE               R6_CANA          1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
CAN_ENABLE               R6_CANB          1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
CAN_ENABLE               U1_CANA          6        TJA1463_AAI_HVSON-AAI-TJA1463
CAN_ENABLE               U1_CANB          6        TJA1463_AAI_HVSON-AAI-TJA1463
CAN_ENABLE               U2_FCCU          12       SN74HCS11_AAI_TSSOP-AAI-SN74HCS11QPWRQ1
